date,time,brightness,altitude,azimuth,satellite,distance to flare centre,brightness at flare centre,sun altitude,city,country,latitude,longitude,
Mar 10, 04:18:52,-1.1,22°,51° (NE),Iridium 75,65 km (W),-6.1,-6°,Reykjavík,Iceland,64.07,21.97,
Mar 10, 04:41:24,-4.9,13°,112° (ESE),Iridium 62,10 km (E),-5.0,-4°,Reykjavík,Iceland,64.07,21.97,
Mar 11, 03:09:51,-1.7,23°,17° (NNE),Iridium 86,27 km (E),-6.6,-13°,Reykjavík,Iceland,64.07,21.97,
Mar 11, 03:18:45,-0.2,26°,16° (NNE),Iridium 50,41 km (W),-6.8,-12°,Reykjavík,Iceland,64.07,21.97,
Mar 11, 03:35:18,-0.5,15°,40° (NE),Iridium 72,103 km (E),-5.7,-11°,Reykjavík,Iceland,64.07,21.97,
Mar 11, 03:44:41,-1.8,17°,43° (NE),Iridium 75,63 km (E),-5.8,-10°,Reykjavík,Iceland,64.07,21.97,
Mar 11, 03:54:03,-5.9,18°,46° (NE),Iridium 70,2 km (E),-5.9,-9°,Reykjavík,Iceland,64.07,21.97,
Mar 11, 03:57:39,0.0,38°,16° (NNE),Iridium 40,26 km (W),-8.7,-8°,Reykjavík,Iceland,64.07,21.97,
Mar 11, 04:03:28,0.8,20°,49° (NE),Iridium 62,135 km (W),-6.0,-8°,Reykjavík,Iceland,64.07,21.97,
Mar 11, 19:55:32,0.0,9°,5° (N),Iridium 68,145 km (E),-5.6,-22°,Reykjavík,Iceland,64.07,21.97,
Mar 12, 02:51:28,0.6,11°,28° (NNE),Iridium 21,198 km (E),-5.5,-15°,Reykjavík,Iceland,64.07,21.97,
Mar 12, 03:03:56,-1.2,22°,17° (NNE),Iridium 52,34 km (E),-6.4,-14°,Reykjavík,Iceland,64.07,21.97,
Mar 12, 03:00:57,-0.7,12°,31° (NNE),Iridium 72,127 km (E),-5.5,-14°,Reykjavík,Iceland,64.07,21.97,
Mar 12, 03:10:22,-0.8,13°,34° (NE),Iridium 75,113 km (E),-5.6,-13°,Reykjavík,Iceland,64.07,21.97,
Mar 12, 03:19:47,-2.1,14°,37° (NE),Iridium 70,72 km (E),-5.6,-12°,Reykjavík,Iceland,64.07,21.97,
Mar 12, 03:29:15,-2.5,15°,40° (NE),Iridium 62,61 km (W),-5.7,-11°,Reykjavík,Iceland,64.07,21.97,
Mar 12, 03:38:38,0.0,17°,43° (NE),Iridium 14,129 km (W),-5.8,-10°,Reykjavík,Iceland,64.07,21.97,
Mar 12, 19:39:33,-1.1,12°,4° (N),Iridium 72,55 km (E),-5.9,-21°,Reykjavík,Iceland,64.07,21.97,
Mar 12, 19:49:14,-5.6,10°,5° (N),Iridium 75,12 km (W),-5.7,-22°,Reykjavík,Iceland,64.07,21.97,
Mar 13, 02:49:09,0.3,18°,17° (NNE),Iridium 84,60 km (E),-6.2,-15°,Reykjavík,Iceland,64.07,21.97,
Mar 13, 02:45:23,-5.3,11°,28° (NNE),Iridium 70,21 km (E),-5.4,-15°,Reykjavík,Iceland,64.07,21.97,
Mar 13, 02:57:55,-0.8,21°,17° (NNE),Iridium 10,41 km (W),-6.4,-14°,Reykjavík,Iceland,64.07,21.97,
Mar 13, 02:54:55,-1.6,12°,32° (NNE),Iridium 62,113 km (W),-5.5,-14°,Reykjavík,Iceland,64.07,21.97,
Mar 13, 03:04:20,-0.5,13°,35° (NE),Iridium 14,155 km (W),-5.6,-13°,Reykjavík,Iceland,64.07,21.97,
Mar 13, 03:13:46,0.8,14°,37° (NE),Iridium 64,216 km (W),-5.6,-12°,Reykjavík,Iceland,64.07,21.97,
Mar 13, 03:43:18,-0.3,35°,17° (NNE),Iridium 40,25 km (W),-8.4,-9°,Reykjavík,Iceland,64.07,21.97,
Mar 7, 03:48:20,-0.5,32°,13° (NNE),Iridium 50,31 km (E),-7.2,-13°,Warsaw,Poland,52.23,21.0,
Mar 7, 17:18:19,-1.1,57°,163° (SSE),Iridium 41,25 km (W),-8.3,-9°,Warsaw,Poland,52.23,21.0,
Mar 8, 03:42:24,-1.9,31°,12° (NNE),Iridium 53,21 km (E),-7.1,-14°,Warsaw,Poland,52.23,21.0,
Mar 9, 03:36:34,-4.7,29°,12° (NNE),Iridium 54,9 km (E),-7.1,-14°,Warsaw,Poland,52.23,21.0,
Mar 10, 03:30:34,-0.7,28°,11° (NNE),Iridium 83,34 km (W),-7.0,-15°,Warsaw,Poland,52.23,21.0,
Mar 10, 03:31:37,0.3,28°,11° (N),Iridium 90,44 km (W),-7.1,-15°,Warsaw,Poland,52.23,21.0,
Mar 11, 03:24:43,-2.4,26°,12° (NNE),Iridium 56,20 km (W),-6.9,-15°,Warsaw,Poland,52.23,21.0,
Mar 11, 03:54:31,-1.2,39°,11° (N),Iridium 40,17 km (W),-8.9,-11°,Warsaw,Poland,52.23,21.0,
Mar 11, 04:44:21,-3.3,15°,70° (ENE),Iridium 66,37 km (E),-5.3,-3°,Warsaw,Poland,52.23,21.0,
Mar 11, 19:15:02,1.0,11°,3° (N),Iridium 64,127 km (E),-6.0,-25°,Warsaw,Poland,52.23,21.0,
Mar 12, 04:19:33,0.8,11°,65° (ENE),Iridium 67,178 km (E),-4.9,-7°,Warsaw,Poland,52.23,21.0,
Mar 12, 19:08:35,-1.9,13°,3° (N),Iridium 67,33 km (E),-6.1,-24°,Warsaw,Poland,52.23,21.0,
Mar 13, 03:04:14,0.9,18°,14° (NNE),Iridium 54,68 km (E),-6.3,-18°,Warsaw,Poland,52.23,21.0,
Mar 13, 03:06:21,-3.9,20°,13° (NNE),Iridium 90,14 km (E),-6.5,-17°,Warsaw,Poland,52.23,21.0,
Mar 13, 03:40:11,-5.3,34°,14° (NNE),Iridium 40,9 km (E),-8.6,-12°,Warsaw,Poland,52.23,21.0,
Mar 13, 04:13:27,-2.2,11°,64° (ENE),Iridium 72,92 km (W),-5.0,-7°,Warsaw,Poland,52.23,21.0,
Mar 7, 22:17:28,-6.5,41°,352° (N),Iridium 52,5 km (E),-7.9,-17°,Kuala Lumpur,Malaysia,3.13,101.7,
Mar 8, 12:13:10,-0.4,46°,174° (S),Iridium 18,32 km (W),-7.9,-12°,Kuala Lumpur,Malaysia,3.13,101.7,
Mar 8, 22:11:30,-7.7,39°,351° (N),Iridium 10,2 km (E),-7.8,-18°,Kuala Lumpur,Malaysia,3.13,101.7,
Mar 9, 22:05:33,0.6,38°,353° (N),Iridium 13,45 km (E),-7.7,-20°,Kuala Lumpur,Malaysia,3.13,101.7,
Mar 9, 22:25:17,-4.4,48°,353° (N),Iridium 40,5 km (W),-10.1,-15°,Kuala Lumpur,Malaysia,3.13,101.7,
Mar 11, 11:57:36,-0.7,49°,179° (S),Iridium 41,28 km (W),-8.0,-9°,Kuala Lumpur,Malaysia,3.13,101.7,
Mar 12, 21:52:03,-7.5,33°,348° (NNW),Iridium 90,3 km (W),-7.6,-23°,Kuala Lumpur,Malaysia,3.13,101.7,
Mar 6, 11:02:42,0.4,46°,169° (S),Iridium 80,42 km (W),-8.0,-15°,Manila,Philippines,14.58,120.95,
Mar 6, 21:06:58,-2.5,40°,355° (N),Iridium 90,17 km (W),-7.9,-16°,Manila,Philippines,14.58,120.95,
Mar 11, 10:34:42,0.3,51°,170° (S),Iridium 81,37 km (E),-8.1,-8°,Manila,Philippines,14.58,120.95,
Mar 6, 17:34:54,0.8,56°,163° (SSE),Iridium 80,44 km (W),-8.2,-11°,Budapest,Hungary,47.5,19.08,
Mar 7, 03:56:09,-0.4,33°,11° (N),Iridium 56,32 km (E),-7.3,-14°,Budapest,Hungary,47.5,19.08,
Mar 7, 03:55:56,-6.9,34°,9° (N),Iridium 90,4 km (E),-7.4,-14°,Budapest,Hungary,47.5,19.08,
Mar 8, 03:50:09,-2.5,32°,9° (N),Iridium 84,18 km (W),-7.2,-14°,Budapest,Hungary,47.5,19.08,
Mar 9, 03:44:14,-2.9,30°,9° (N),Iridium 12,16 km (W),-7.1,-15°,Budapest,Hungary,47.5,19.08,
Mar 10, 03:38:19,1.0,28°,8° (N),Iridium 86,55 km (W),-7.1,-16°,Budapest,Hungary,47.5,19.08,
Mar 11, 03:32:27,-2.8,26°,10° (N),Iridium 52,18 km (W),-6.9,-16°,Budapest,Hungary,47.5,19.08,
Mar 11, 19:13:38,0.2,11°,4° (N),Iridium 64,77 km (E),-6.0,-26°,Budapest,Hungary,47.5,19.08,
Mar 12, 19:07:04,-1.8,14°,4° (N),Iridium 67,29 km (E),-6.3,-24°,Budapest,Hungary,47.5,19.08,
Mar 7, 03:36:28,-1.8,33°,8° (N),Iridium 86,21 km (E),-7.3,-15°,Sofia,Bulgaria,42.67,23.33,
Mar 7, 17:12:00,0.9,53°,156° (SSE),Iridium 98,47 km (E),-8.2,-10°,Sofia,Bulgaria,42.67,23.33,
Mar 8, 17:11:19,0.6,56°,169° (S),Iridium 15,41 km (W),-8.2,-9°,Sofia,Bulgaria,42.67,23.33,
Mar 9, 03:24:41,0.0,29°,10° (N),Iridium 10,39 km (E),-7.1,-16°,Sofia,Bulgaria,42.67,23.33,
Mar 10, 03:18:49,0.3,27°,10° (N),Iridium 13,44 km (E),-7.0,-17°,Sofia,Bulgaria,42.67,23.33,
Mar 11, 03:12:58,0.6,25°,10° (N),Iridium 50,49 km (E),-6.8,-18°,Sofia,Bulgaria,42.67,23.33,
Mar 11, 18:54:26,0.3,9°,4° (N),Iridium 62,58 km (W),-5.9,-27°,Sofia,Bulgaria,42.67,23.33,
Mar 12, 03:07:06,-0.6,23°,10° (N),Iridium 53,36 km (E),-6.7,-19°,Sofia,Bulgaria,42.67,23.33,
Mar 13, 03:01:19,-2.9,21°,10° (N),Iridium 54,18 km (E),-6.6,-19°,Sofia,Bulgaria,42.67,23.33,
Mar 13, 03:03:28,0.3,23°,8° (N),Iridium 90,50 km (W),-6.9,-19°,Sofia,Bulgaria,42.67,23.33,
Mar 9, 17:28:25,-5.2,54°,189° (S),Iridium 82,3 km (W),-8.9,-1°,Dublin,Ireland,53.33,6.25,
Mar 10, 04:25:45,-3.3,26°,13° (NNE),Iridium 84,14 km (E),-6.9,-15°,Dublin,Ireland,53.33,6.25,
Mar 11, 04:19:50,-6.7,24°,13° (NNE),Iridium 12,2 km (E),-6.8,-16°,Dublin,Ireland,53.33,6.25,
Mar 11, 20:19:33,0.2,10°,3° (N),Iridium 75,124 km (E),-5.8,-25°,Dublin,Ireland,53.33,6.25,
Mar 12, 04:13:54,0.5,23°,12° (NNE),Iridium 86,55 km (W),-6.7,-16°,Dublin,Ireland,53.33,6.25,
Mar 12, 20:13:10,-5.8,11°,2° (N),Iridium 14,10 km (W),-6.0,-24°,Dublin,Ireland,53.33,6.25,
Mar 13, 04:08:03,-1.1,22°,13° (NNE),Iridium 52,36 km (W),-6.6,-17°,Dublin,Ireland,53.33,6.25,
Mar 13, 05:07:47,-2.7,11°,62° (ENE),Iridium 65,78 km (W),-5.0,-8°,Dublin,Ireland,53.33,6.25,
Mar 7, 00:31:07,-2.9,36°,3° (N),Iridium 56,15 km (W),-7.5,-15°,Santiago,Chile,33.47,70.75,
Mar 8, 14:02:49,-0.7,52°,162° (SSE),Iridium 81,28 km (E),-8.2,-10°,Santiago,Chile,33.47,70.75,
Mar 9, 00:19:13,0.1,32°,2° (N),Iridium 12,39 km (W),-7.4,-17°,Santiago,Chile,33.47,70.75,
Mar 10, 13:53:45,0.9,53°,164° (SSE),Iridium 98,45 km (E),-8.2,-8°,Santiago,Chile,33.47,70.75,
Mar 10, 15:37:07,-0.6,8°,7° (N),Iridium 72,41 km (W),-5.9,-29°,Santiago,Chile,33.47,70.75,
Mar 11, 00:07:27,-6.9,28°,4° (N),Iridium 52,5 km (W),-7.1,-19°,Santiago,Chile,33.47,70.75,
Mar 11, 13:49:38,-4.0,54°,172° (S),Iridium 81,9 km (E),-8.2,-7°,Santiago,Chile,33.47,70.75,
Mar 11, 15:29:54,-4.6,15°,9° (N),Iridium 62,9 km (W),-6.4,-27°,Santiago,Chile,33.47,70.75,
Mar 12, 00:01:35,-0.3,26°,3° (N),Iridium 10,36 km (W),-7.0,-20°,Santiago,Chile,33.47,70.75,
Mar 12, 15:23:21,-2.2,18°,11° (N),Iridium 65,22 km (E),-6.6,-26°,Santiago,Chile,33.47,70.75,
Mar 12, 23:55:45,-1.4,24°,4° (N),Iridium 13,28 km (W),-6.9,-21°,Santiago,Chile,33.47,70.75,
Mar 6, 18:24:02,-0.7,56°,153° (SSE),Iridium 15,28 km (E),-8.3,-9°,Amsterdam,Netherlands,52.37,4.88,
Mar 7, 04:52:17,-3.1,32°,12° (NNE),Iridium 12,14 km (E),-7.2,-13°,Amsterdam,Netherlands,52.37,4.88,
Mar 8, 04:46:21,-2.0,31°,11° (N),Iridium 86,21 km (W),-7.2,-14°,Amsterdam,Netherlands,52.37,4.88,
Mar 8, 18:16:09,-1.4,57°,159° (SSE),Iridium 98,22 km (E),-8.3,-8°,Amsterdam,Netherlands,52.37,4.88,
Mar 9, 04:40:27,-3.7,29°,12° (NNE),Iridium 52,12 km (E),-7.0,-14°,Amsterdam,Netherlands,52.37,4.88,
Mar 9, 18:10:56,-0.3,57°,161° (SSE),Iridium 15,31 km (E),-8.3,-6°,Amsterdam,Netherlands,52.37,4.88,
Mar 10, 04:34:30,-0.9,28°,11° (NNE),Iridium 10,32 km (W),-7.0,-15°,Amsterdam,Netherlands,52.37,4.88,
Mar 11, 04:28:36,-0.1,26°,12° (NNE),Iridium 13,42 km (W),-6.9,-15°,Amsterdam,Netherlands,52.37,4.88,
Mar 11, 20:28:36,0.9,9°,2° (N),Iridium 70,62 km (E),-5.7,-26°,Amsterdam,Netherlands,52.37,4.88,
Mar 12, 04:13:57,0.0,20°,14° (NNE),Iridium 86,48 km (E),-6.5,-17°,Amsterdam,Netherlands,52.37,4.88,
Mar 12, 04:22:42,0.6,24°,12° (NNE),Iridium 50,55 km (W),-6.8,-16°,Amsterdam,Netherlands,52.37,4.88,
Mar 12, 05:23:26,0.8,11°,64° (ENE),Iridium 14,181 km (E),-4.9,-7°,Amsterdam,Netherlands,52.37,4.88,
Mar 12, 05:32:47,-4.9,13°,67° (ENE),Iridium 64,31 km (E),-5.1,-5°,Amsterdam,Netherlands,52.37,4.88,
Mar 12, 20:12:29,-0.7,14°,3° (N),Iridium 14,47 km (E),-6.2,-23°,Amsterdam,Netherlands,52.37,4.88,
Mar 13, 04:08:09,0.9,18°,14° (NNE),Iridium 52,68 km (E),-6.3,-18°,Amsterdam,Netherlands,52.37,4.88,
Mar 13, 05:17:20,-0.9,11°,64° (ENE),Iridium 66,140 km (W),-5.0,-7°,Amsterdam,Netherlands,52.37,4.88,
Mar 10, 21:43:33,0.9,28°,4° (N),Iridium 90,48 km (E),-7.2,-20°,Chihuahua,Mexico,28.62,106.08,
Mar 11, 11:32:03,-4.1,54°,174° (S),Iridium 80,10 km (W),-8.1,-8°,Chihuahua,Mexico,28.62,106.08,
Mar 11, 13:02:19,0.7,15°,13° (NNE),Iridium 68,58 km (E),-6.5,-27°,Chihuahua,Mexico,28.62,106.08,
Mar 11, 21:43:10,0.2,28°,0° (N),Iridium 56,42 km (W),-7.2,-20°,Chihuahua,Mexico,28.62,106.08,
Mar 6, 17:51:42,-4.5,57°,157° (SSE),Iridium 41,9 km (W),-8.3,-10°,Berlin,Germany,52.5,13.42,
Mar 7, 17:31:04,-5.3,56°,169° (S),Iridium 39,6 km (E),-8.3,-6°,Berlin,Germany,52.5,13.42,
Mar 7, 17:46:14,-2.4,57°,157° (SSE),Iridium 15,16 km (E),-8.3,-8°,Berlin,Germany,52.5,13.42,
Mar 9, 04:04:03,-0.9,28°,13° (NNE),Iridium 83,30 km (E),-7.0,-15°,Berlin,Germany,52.5,13.42,
Mar 10, 03:58:13,0.3,26°,14° (NNE),Iridium 56,46 km (E),-6.8,-15°,Berlin,Germany,52.5,13.42,
Mar 11, 03:52:10,-2.3,25°,12° (NNE),Iridium 84,21 km (W),-6.8,-16°,Berlin,Germany,52.5,13.42,
Mar 11, 19:51:56,0.4,10°,2° (N),Iridium 68,47 km (E),-5.8,-25°,Berlin,Germany,52.5,13.42,
Mar 12, 03:46:15,-0.7,23°,12° (NNE),Iridium 12,38 km (W),-6.7,-16°,Berlin,Germany,52.5,13.42,
Mar 12, 03:47:58,0.6,25°,12° (NNE),Iridium 90,54 km (W),-6.9,-16°,Berlin,Germany,52.5,13.42,
Mar 12, 05:05:29,-5.1,14°,68° (ENE),Iridium 70,13 km (W),-5.2,-4°,Berlin,Germany,52.5,13.42,
Mar 12, 19:45:49,-2.2,10°,2° (N),Iridium 75,36 km (W),-5.8,-24°,Berlin,Germany,52.5,13.42,
Mar 13, 04:40:42,-4.7,10°,63° (ENE),Iridium 62,48 km (W),-4.9,-8°,Berlin,Germany,52.5,13.42,
Mar 13, 04:50:02,0.3,12°,65° (ENE),Iridium 14,188 km (W),-5.1,-6°,Berlin,Germany,52.5,13.42,
Mar 6, 18:33:25,-0.6,56°,153° (SSE),Iridium 81,29 km (E),-8.3,-9°,Bristol,England,51.47,2.58,
Mar 7, 05:01:11,-1.1,32°,12° (NNE),Iridium 13,26 km (E),-7.2,-13°,Bristol,England,51.47,2.58,
Mar 8, 04:55:16,-0.9,31°,12° (NNE),Iridium 50,29 km (E),-7.1,-14°,Bristol,England,51.47,2.58,
Mar 8, 04:55:07,-3.3,31°,12° (NNE),Iridium 90,13 km (E),-7.2,-14°,Bristol,England,51.47,2.58,
Mar 8, 18:25:33,-2.0,57°,160° (SSE),Iridium 41,18 km (E),-8.3,-8°,Bristol,England,51.47,2.58,
Mar 9, 04:49:21,-2.8,29°,12° (NNE),Iridium 53,16 km (E),-7.0,-15°,Bristol,England,51.47,2.58,
Mar 9, 18:20:19,-0.2,57°,162° (SSE),Iridium 81,31 km (E),-8.3,-7°,Bristol,England,51.47,2.58,
Mar 10, 04:43:31,-6.9,27°,12° (NNE),Iridium 54,2 km (E),-7.0,-15°,Bristol,England,51.47,2.58,
Mar 11, 04:37:31,0.2,26°,11° (N),Iridium 83,46 km (W),-6.9,-16°,Bristol,England,51.47,2.58,
Mar 12, 04:31:42,-0.8,24°,12° (NNE),Iridium 56,36 km (W),-6.8,-16°,Bristol,England,51.47,2.58,
Mar 12, 05:42:14,-4.7,12°,68° (ENE),Iridium 65,34 km (E),-5.0,-5°,Bristol,England,51.47,2.58,
Mar 12, 20:21:30,-3.6,13°,3° (N),Iridium 64,19 km (E),-6.1,-24°,Bristol,England,51.47,2.58,
Mar 10, 20:11:56,0.2,9°,6° (N),Iridium 67,42 km (W),-5.9,-29°,Algiers,Algeria,36.83,3.0,
Mar 11, 04:33:32,0.7,25°,8° (N),Iridium 83,50 km (E),-6.9,-19°,Algiers,Algeria,36.83,3.0,
Mar 11, 18:20:42,-1.9,55°,175° (S),Iridium 98,19 km (W),-8.2,-7°,Algiers,Algeria,36.83,3.0,
Mar 11, 20:05:13,-0.2,13°,6° (N),Iridium 72,40 km (W),-6.2,-27°,Algiers,Algeria,36.83,3.0,
Mar 12, 19:58:26,-3.8,17°,8° (N),Iridium 62,12 km (W),-6.5,-26°,Algiers,Algeria,36.83,3.0,
Mar 13, 04:21:50,-2.6,21°,7° (N),Iridium 84,19 km (E),-6.7,-21°,Algiers,Algeria,36.83,3.0,
Mar 6, 19:00:32,-2.7,37°,0° (N),Iridium 83,16 km (W),-7.6,-15°,Brisbane,Australia,27.48,153.13,
Mar 7, 08:44:57,0.5,50°,168° (SSE),Iridium 80,41 km (W),-8.1,-13°,Brisbane,Australia,27.48,153.13,
Mar 7, 18:54:38,-0.1,35°,4° (N),Iridium 56,35 km (E),-7.5,-16°,Brisbane,Australia,27.48,153.13,
Mar 8, 18:48:39,-7.3,33°,1° (N),Iridium 84,4 km (W),-7.4,-18°,Brisbane,Australia,27.48,153.13,
Mar 8, 20:04:38,-8.2,56°,15° (NNE),Iridium 82,6 km (W),-8.3,-1°,Brisbane,Australia,27.48,153.13,
Mar 9, 18:42:45,-2.0,31°,2° (N),Iridium 12,20 km (E),-7.3,-19°,Brisbane,Australia,27.48,153.13,
Mar 10, 18:36:53,-7.2,29°,1° (N),Iridium 86,1 km (E),-7.2,-20°,Brisbane,Australia,27.48,153.13,
Mar 12, 09:52:29,-0.6,21°,13° (NNE),Iridium 62,36 km (W),-6.9,-27°,Brisbane,Australia,27.48,153.13,
Mar 12, 18:25:15,0.0,24°,3° (N),Iridium 10,40 km (E),-6.9,-22°,Brisbane,Australia,27.48,153.13,
Mar 7, 04:21:52,-4.4,34°,7° (N),Iridium 84,10 km (W),-7.4,-15°,Rome,Italy,41.9,12.45,
Mar 7, 17:58:26,-1.0,55°,165° (SSE),Iridium 81,26 km (W),-8.3,-10°,Rome,Italy,41.9,12.45,
Mar 8, 04:15:57,-7.3,32°,7° (N),Iridium 12,1 km (E),-7.3,-15°,Rome,Italy,41.9,12.45,
Mar 9, 04:10:03,-0.9,30°,6° (N),Iridium 86,30 km (W),-7.2,-16°,Rome,Italy,41.9,12.45,
Mar 9, 04:10:33,-4.0,31°,7° (N),Iridium 90,11 km (W),-7.3,-16°,Rome,Italy,41.9,12.45,
Mar 10, 04:04:11,-2.5,28°,9° (N),Iridium 52,18 km (E),-7.1,-17°,Rome,Italy,41.9,12.45,
Mar 10, 17:45:19,0.2,56°,175° (S),Iridium 81,36 km (W),-8.2,-7°,Rome,Italy,41.9,12.45,
Mar 11, 03:58:17,-2.4,26°,8° (N),Iridium 10,20 km (W),-7.0,-18°,Rome,Italy,41.9,12.45,
Mar 11, 19:30:03,-0.7,13°,6° (N),Iridium 66,40 km (E),-6.2,-26°,Rome,Italy,41.9,12.45,
Mar 12, 03:52:25,-2.4,24°,8° (N),Iridium 13,21 km (W),-6.9,-18°,Rome,Italy,41.9,12.45,
Mar 13, 03:46:35,-2.0,22°,8° (N),Iridium 50,24 km (W),-6.7,-19°,Rome,Italy,41.9,12.45,


